Designator,Mid X,Mid Y,Rotation,Layer
C1,147.71,-121.2044,90.0,top
C10,120.89625,-130.63815,90.0,bottom
C11,131.78375,-115.5144,0.0,top
C12,120.83375,-133.06315,90.0,top
C13,135.63375,-136.30815,270.0,top
C14,131.07425,-118.50815,270.0,top
C15,131.50325,-90.01565,180.0,top
C16,140.63375,-76.10815,90.0,top
C17,171.03375,-131.20815,0.0,top
C18,188.3575,-121.9169,90.0,top
C19,175.4075,-119.3294,0.0,top
C2,174.73375,-87.80815,270.0,top
C20,175.4075,-121.6944,0.0,top
C21,178.3575,-128.4294,270.0,top
C22,179.5075,-125.4294,0.0,top
C23,148.302947,-132.5544,180.0,top
C24,143.885,-132.3544,0.0,top
C25,144.41,-129.54815,0.0,top
C26,148.302947,-129.9894,0.0,top
C27,146.9075,-137.2044,0.0,top
C28,142.4125,-141.5294,0.0,top
C29,141.8875,-138.8794,0.0,top
C3,182.4575,-133.1844,90.0,top
C30,124.23375,-121.30815,0.0,top
C4,153.2575,-135.7294,270.0,top
C5,150.2525,-138.6794,270.0,top
C6,124.53375,-124.20815,180.0,top
C7,170.69,-137.0294,0.0,top
C8,162.5775,-140.3244,180.0,top
C9,136.35175,-132.3694,0.0,top
D1,154.395,-131.5894,0.0,top
D2,154.6175,-127.9244,270.0,top
D3,176.0575,-113.8069,90.0,top
D4,181.0075,-121.6944,0.0,top
D5,144.4225,-126.3919,180.0,top
D6,172.3575,-112.1669,270.0,top
D7,153.11,-113.7344,270.0,top
D8,151.48375,-65.30815,180.0,top
D9,167.93375,-98.60815,0.0,top
IC2,128.33375,-132.10815,0.0,top
IC4,146.7075,-140.5794,0.0,top
IC5,175.23375,-128.3044,90.0,top
J1,200.89375,-84.26815,90.0,top
J2,103.02375,-84.00815,90.0,top
J3,185.1625,-116.3294,90.0,top
J5,182.2725,-143.4544,0.0,top
J6,129.77925,-143.4244,180.0,top
Q1,164.03375,-76.28815,270.0,bottom
Q2,146.10325,-87.20765,90.0,bottom
Q3,166.9275,-128.0669,270.0,top
Q4,170.8775,-134.1294,180.0,top
Q5,167.8575,-140.1169,180.0,top
Q6,154.61,-109.2169,270.0,top
R1,151.51,-109.2419,90.0,top
R10,152.385,-127.8844,270.0,top
R11,190.6075,-121.9169,270.0,top
R12,120.83375,-134.10815,90.0,bottom
R13,136.37175,-128.0944,0.0,top
R14,133.13825,-93.51565,270.0,top
R15,129.43825,-93.41565,270.0,top
R16,133.13825,-93.50315,270.0,bottom
R17,129.43825,-93.40315,270.0,bottom
R18,120.83375,-117.59565,270.0,top
R19,131.74625,-113.3019,180.0,top
R2,149.31,-109.2419,90.0,top
R20,120.83375,-121.20815,90.0,top
R21,118.53375,-119.39565,90.0,top
R22,127.73375,-121.30815,0.0,top
R23,131.73375,-121.30815,180.0,top
R24,133.27425,-118.60815,270.0,top
R25,124.23375,-113.40815,180.0,top
R26,170.03375,-93.30815,180.0,top
R27,145.13375,-70.20815,0.0,top
R28,180.4575,-128.4669,90.0,top
R29,186.1075,-121.9169,270.0,top
R3,131.50325,-82.60865,180.0,top
R30,152.0825,-124.8544,180.0,top
R31,146.4975,-110.1544,0.0,top
R32,150.41,-113.6544,90.0,top
R33,148.340447,-127.4544,180.0,top
R34,172.3575,-115.8669,90.0,top
R35,157.5475,-109.1919,90.0,top
R4,169.8575,-128.0294,270.0,top
R5,126.738,-139.33815,180.0,bottom
R6,174.4775,-134.1744,90.0,top
R7,171.1575,-140.1544,90.0,top
R8,184.3475,-138.5344,0.0,top
R9,136.37175,-130.1944,180.0,top
RV1,150.31,-97.30815,180.0,top
T1,162.3575,-134.1294,180.0,top
TH100,127.53375,-112.80815,90.0,bottom
TP1,157.91,-125.13,0.0,top
TP2,157.91,-113.63,0.0,top
TP5,115.11,-146.13,0.0,top
TP6,138.63375,-121.30815,0.0,top
TP7,114.93375,-120.30815,0.0,top
TP9,142.13375,-107.70815,0.0,top
U1,178.985,-134.1344,0.0,top
U2,125.97425,-117.4419,180.0,top
U4,151.805,-119.7922,90.0,top
